window,train_end,test_end,n_train,n_test,auc,name,n_bets,win_rate,avg_odds,avg_edge,pnl,roi
13,2022-01-01,2022-07-01,396519,103630,0.7976609822170987,HIGH_EDGE,2,0.0,5.85,0.106081870243764,-2.0,-1.0
13,2022-01-01,2022-07-01,396519,103630,0.7976609822170987,MED_EDGE,67,0.1791044776119403,5.769402985074626,0.06573415842374487,-7.700000000000001,-0.11492537313432838
13,2022-01-01,2022-07-01,396519,103630,0.7976609822170987,LOW_EDGE,537,0.17690875232774675,6.424674115456239,0.0338324436485533,-7.3999999999999915,-0.013780260707634993
13,2022-01-01,2022-07-01,396519,103630,0.7976609822170987,CONF_HIGH,414,0.30676328502415456,3.261352657004831,0.01868989570526544,-5.199999999999999,-0.01256038647342995
13,2022-01-01,2022-07-01,396519,103630,0.7976609822170987,OUTSIDER_HE,15,0.06666666666666667,10.569999999999999,0.06675472872837084,-5.9,-0.39333333333333337
13,2022-01-01,2022-07-01,396519,103630,0.7976609822170987,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
14,2022-07-01,2023-01-01,410194,105119,0.7990387415921076,ALL_FAVORITES,7990,0.3137672090112641,3.136181476846057,-0.045769390035051066,-1140.8999999999999,-0.1427909887359199
14,2022-07-01,2023-01-01,410194,105119,0.7990387415921076,HIGH_EDGE,15,0.06666666666666667,6.033333333333334,0.11633370857244137,-13.1,-0.8733333333333333
14,2022-07-01,2023-01-01,410194,105119,0.7990387415921076,MED_EDGE,164,0.16463414634146342,5.660975609756098,0.06943370913666153,-29.1,-0.17743902439024392
14,2022-07-01,2023-01-01,410194,105119,0.7990387415921076,LOW_EDGE,923,0.19284940411700974,6.778873239436619,0.03720308817885272,103.19999999999999,0.11180931744312025
14,2022-07-01,2023-01-01,410194,105119,0.7990387415921076,CONF_HIGH,743,0.3028263795423957,3.3715343203230153,0.02355075534788552,-34.800000000000004,-0.0468371467025572
14,2022-07-01,2023-01-01,410194,105119,0.7990387415921076,OUTSIDER_HE,42,0.19047619047619047,11.00952380952381,0.06747343176331294,52.6,1.2523809523809524
14,2022-07-01,2023-01-01,410194,105119,0.7990387415921076,EXTREME_HE,2,0.0,7.95,0.16329255769531026,-2.0,-1.0
15,2023-01-01,2023-07-01,415575,104258,0.795700955104501,ALL_FAVORITES,7354,0.3211857492521077,3.0520669023660596,-0.04824861855467445,-997.5,-0.13564046777264074
15,2023-01-01,2023-07-01,415575,104258,0.795700955104501,HIGH_EDGE,3,0.6666666666666666,4.2,0.11153371318327909,5.9,1.9666666666666668
15,2023-01-01,2023-07-01,415575,104258,0.795700955104501,MED_EDGE,80,0.2625,5.461875000000001,0.0659831000906525,14.2,0.1775
15,2023-01-01,2023-07-01,415575,104258,0.795700955104501,LOW_EDGE,587,0.1635434412265758,6.850766609880749,0.03451697711030119,-79.4,-0.13526405451448043
15,2023-01-01,2023-07-01,415575,104258,0.795700955104501,CONF_HIGH,501,0.2714570858283433,3.4596806387225554,0.019713299344110334,-54.70000000000001,-0.10918163672654693
15,2023-01-01,2023-07-01,415575,104258,0.795700955104501,OUTSIDER_HE,15,0.06666666666666667,15.413333333333332,0.06884802201935582,5.199999999999999,0.3466666666666666
15,2023-01-01,2023-07-01,415575,104258,0.795700955104501,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
16,2023-07-01,2024-01-01,419961,106209,0.7960654974745501,ALL_FAVORITES,7852,0.31915435557819666,3.1173650025471216,-0.04148891038127935,-1012.9999999999999,-0.12901171676006112
16,2023-07-01,2024-01-01,419961,106209,0.7960654974745501,HIGH_EDGE,13,0.3076923076923077,5.6,0.12589449021440785,3.4,0.26153846153846155
16,2023-07-01,2024-01-01,419961,106209,0.7960654974745501,MED_EDGE,165,0.24242424242424243,5.819090909090909,0.06865486135787087,27.4,0.16606060606060605
16,2023-07-01,2024-01-01,419961,106209,0.7960654974745501,LOW_EDGE,1034,0.20309477756286268,6.838346228239845,0.036927465129209,66.70000000000002,0.06450676982591878
16,2023-07-01,2024-01-01,419961,106209,0.7960654974745501,CONF_HIGH,900,0.33111111111111113,3.259611111111111,0.022273099162866714,36.699999999999996,0.040777777777777774
16,2023-07-01,2024-01-01,419961,106209,0.7960654974745501,OUTSIDER_HE,44,0.11363636363636363,13.886363636363633,0.06885501137711245,21.000000000000004,0.47727272727272735
16,2023-07-01,2024-01-01,419961,106209,0.7960654974745501,EXTREME_HE,1,1.0,3.1,0.1842813859707117,2.1,2.1
17,2024-01-01,2024-07-01,419216,109353,0.7973558703891541,ALL_FAVORITES,7531,0.30593546673748506,3.1203757801088834,-0.04425299887896055,-1298.8,-0.17246049661399548
17,2024-01-01,2024-07-01,419216,109353,0.7973558703891541,HIGH_EDGE,7,0.42857142857142855,3.585714285714286,0.12335483496809929,2.5,0.35714285714285715
17,2024-01-01,2024-07-01,419216,109353,0.7973558703891541,MED_EDGE,109,0.24770642201834864,4.967431192660551,0.06642637985055228,1.7000000000000006,0.015596330275229364
17,2024-01-01,2024-07-01,419216,109353,0.7973558703891541,LOW_EDGE,718,0.20473537604456823,6.858635097493036,0.035338728265869854,35.60000000000001,0.049582172701949874
17,2024-01-01,2024-07-01,419216,109353,0.7973558703891541,CONF_HIGH,754,0.3196286472148541,3.2988726790450933,0.020864799190634574,7.299999999999999,0.009681697612732094
17,2024-01-01,2024-07-01,419216,109353,0.7973558703891541,OUTSIDER_HE,23,0.13043478260869565,14.604347826086956,0.06239939204919461,30.200000000000003,1.3130434782608698
17,2024-01-01,2024-07-01,419216,109353,0.7973558703891541,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
18,2024-07-01,2025-01-01,424939,110375,0.8024524088536866,ALL_FAVORITES,7915,0.3305116866708781,3.112501579279848,-0.04411911646071053,-834.5999999999999,-0.10544535691724573
