DATE,PRIX,HIPPODROME,ARRIVEE
22/06/2010,PRIX DE CHEVRIERES,Chantilly,6 - 5 - 8 - 7 - 16
23/06/2010,GRAND NATIONAL DU TROT GNT,Reims,2 - 5 - 9 - 12 - 3
24/06/2010,PRIX CHINCO,Auteuil,13 - 8 - 7 - 5 - 1
25/06/2010,PRIX CLEMENTINA,Vincennes,10 - 1 - 4 - 9 - 18
26/06/2010,PRIX DES INVALIDES,Enghien,16 - 2 - 18 - 6 - 3
27/06/2010,PRIX D'AQUITAINE,Saint-cloud,1 - 8 - 14 - 5 - 16
28/06/2010,PRIX DIEPPE MARITIME,Dieppe,12 - 9 - 6 - 16 - 8
29/06/2010,PRIX DE L'ARTOIS,Compiegne,11 - 6 - 10 - 9 - 4
30/06/2010,PRIX DE LA FORET DE SAINT-GERMAIN,Maisons-laffitte,5 - 2 - 4 - 6 - 9
01/07/2010,PRIX DE PLAISANCE,Enghien,2 - 3 - 5 - 16 - 1
02/07/2010,PRIX NEMAUSA,Vincennes,10 - 8 - 13 - 3 - 1
03/07/2010,PRIX DE LA REINE MARGUERITE,Paris-Longchamp,8 - 4 - 13 - 5 - 7
04/07/2010,PRIX DU BOIS BOURILLON,Chantilly,2 - 6 - 10 - 14 - 5
05/07/2010,PRIX DE LA FORET DE COMPIEGNE,Compiegne,6 - 3 - 8 - 10 - 14
06/07/2010,PRIX LEOPOLD D'ORSETTI,Clairefontaine,14 - 1 - 3 - 10 - 4
07/07/2010,PRIX DE VINCENNES,Vichy,13 - 1 - 7 - 2 - 12
08/07/2010,PRIX DE LA PORTE DE CHARENTON,Enghien,15 - 4 - 17 - 3 - 18
09/07/2010,PRIX DES VALERIANES,Cabourg,2 - 8 - 14 - 15 - 7
10/07/2010,PRIX DE LA MANCHE,Enghien,3 - 4 - 2 - 11 - 1
11/07/2010,PRIX DE LA VILLE DE MAISONS-LAFFITTE,Maisons-laffitte,11 - 14 - 6 - 10 - 8
12/07/2010,PRIX DE PRECY,Chantilly,2 - 16 - 13 - 3 - 11
13/07/2010,PRIX DES SABLES-D'OLONNE,Les Sables D'olonne,4 - 2 - 6 - 13 - 1
14/07/2010,PRIX DE LA FETE NATIONALE,Paris-Longchamp,3 - 16 - 14 - 10 - 6
15/07/2010,PRIX DE L'OPERA,Enghien,6 - 1 - 4 - 11 - 2
16/07/2010,PRIX PAUL VIEL,Cabourg,15 - 12 - 1 - 16 - 10
17/07/2010,PRIX DE L'HIPPODROME DE MAISONS-LAFFITTE,Maisons-laffitte,10 - 6 - 8 - 2 - 15
18/07/2010,PRIX DU PALAIS DE CHAILLOT,Enghien,1 - 16 - 4 - 14 - 2
19/07/2010,PRIX BURGOS,Vichy,12 - 7 - 13 - 5 - 3
20/07/2010,PRIX DE LA VILLE DE VICHY,Vichy,6 - 18 - 13 - 5 - 10
21/07/2010,GRAND PRIX DE LA VILLE DE VIRE,Vire,1 - 9 - 15 - 12 - 17
22/07/2010,PRIX DE TOURY LURCY,Vichy,4 - 5 - 17 - 8 - 13
23/07/2010,GRAND PRIX DE LA VILLE DE CABOURG,Cabourg,2 - 4 - 8 - 7 - 5
24/07/2010,PRIX DE BUENOS-AIRES,Enghien,4 - 9 - 8 - 2 - 13
25/07/2010,PRIX DES CAVES DU NORD,Maisons-laffitte,8 - 7 - 15 - 13 - 18
26/07/2010,PRIX DE LA VILLE DE COMPIEGNE,Compiegne,3 - 10 - 2 - 7 - 14
27/07/2010,PRIX ALBINE,Maisons-laffitte,5 - 10 - 11 - 3 - 4
28/07/2010,PRIX DU MEDOC,Enghien,2 - 4 - 5 - 11 - 7
29/07/2010,PRIX MAGIC NIGHT,Clairefontaine,4 - 3 - 13 - 9 - 1
30/07/2010,PRIX HENRI BALLIERE,Cabourg,1 - 13 - 15 - 6 - 2
31/07/2010,PRIX DE LA BOURSE,Enghien,3 - 7 - 11 - 13 - 2
01/08/2010,PRIX DES COLLECTIVITES LOCALES,Deauville,2 - 10 - 6 - 8 - 15
