place,placeoptin,rapport,cr-reunion,cr-num,cr-nb_partants,cr-Hippodrome,cr-Evt,cr-Date,cr-autostart,cr-corde,cr-etat du terrain,cr-distance,Numcheval,CoteProbable,Sexe,NbRencontre,NbBattus,SommeNbRencontre,SommeNbBattus,NumCourseJockey,QteCourseJockeyJour,SumCote5Race,MoyenneCote5Race,qteCoteCheval,ETCote5Race,SumPoids,SumIdJockey,SumidHippodrome,SumIdDeferre,SumDistance,SumAllocation,PositionIdJockey,PositionidHippodrome,PositionIdDeferre,PositionDistance,PositionAllocation,pourcentIdJockey,pourcentidHippodrome,pourcentIdDeferre,pourcentDistance,pourcentAllocation,SommeCourse,nbjourdercourse,numeroagespec,numerodistancespec,numerodeferrespec,numerosexespec,numeroagesexedistancespec,idjockeynumcoursenbrcoursespec,jockeyReussite,jockeyReussitePlusPlace,jockeyReussiteSpecialite,jockeynReussiteDistance,jockeyReussiteIdcheval,jockeyReussiteDeferre,jockeynReussiteSpecialiteDeferre,jockeyReussiteDistanceDeferre,entraineurReussite,entraineurReussitePlusPlace,entraineurReussiteSpecialite,entraineurnReussiteDistance,entraineurReussiteIdcheval,chevalReussite,chevalReussitePlusPlace,chevalReussiteSpecialite,chevalnReussiteDistance,coteprobable,gains
1,1,1.8,2,6,9,Vincennes,0,04-01-2011,0,corde à gauche,terrain bon,2.700 mètres,3,4,F,0,0,0,0,0,0,0.9362,0.9362,0,0.9204,0,1,1,0.7143,0,1,1,1,1,0,1,1,1,0.5,0,1,0.6667,1,0.625,0.7778,1,0.6667,0.9,0.0952,0,0,0,0.4374,1,0,0.2501,0,0.3334,0.3073,0.3334,0,0,0.891,0.893,0.891,0,0.9565,0.7739
1,1,2,2,7,15,Vincennes,0,04-01-2011,0,corde à gauche,terrain bon,2.700 mètres,10,4,M,0,0,0,0,1,1,1,1,1,1,0,0.6667,0.8571,1,0.5,1,0,1,1,0,0,0.25,1,1,0,0,1,0.9933,0.5,0,0.6,0.3636,0.4737,0.5,0.2676,0.8874,0.2118,0.2241,0.25,1,1,1,0.8,0.7921,0.8,0.5,0,0.0774,0.0901,0.0726,0,1,0.7016
1,1,1.2,2,8,13,Vincennes,0,04-01-2011,1,corde à gauche,terrain bon,2.100 mètres,7,4,H,0,0,0,0,0,0,1,1,0,0.9622,0,0.4583,0,0.7794,0.4,0,0.3125,0,0,0.5,0,0,0.3143,0,0.67,0.23,0.6286,0.5526,0.1667,0.3571,0,0.3333,0.3939,0.4091,0,0.2251,0,0,0,0,1,0,1,1,1,0,0,0.2712,0.2894,0.2205,0.6667,1,0.5903
1,1,2,3,2,15,Mons,0,04-01-2011,1,corde à gauche,terrain  (psf),2.300 mètres,8,10,F,0,0,0,0,1,0,1,1,1,1,0,0.3333,1,0.8333,1,0,1,1,1,1,0,1,1,1,1,0,0.8571,0.3846,0,0.2857,0.1429,0,0.4167,0,0.0105,0,0.0105,0,1,0.0207,0.3183,0,0.6,0.5882,0.6,0,0,1,1,1,1,0.8,0.1778
1,1,1.9,3,3,9,Mons,0,04-01-2011,1,corde à gauche,terrain  (psf),2.800 mètres,5,10,M,0,0,0,0,0.5,0,0.6768,0.7987,0,0.7227,0,1,0.3158,1,0.75,0,1,0.4667,0.4667,0.6667,0,1,0.5,0.5814,0,0,0,0.9426,1,0.1818,0,0,0,0.2,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2501,0.0783,0.2522,0,0.6667,0.7938
0,8,0,3,4,16,Mons,0,04-01-2011,1,corde à gauche,terrain  (psf),2.300 mètres,3,5,M,0,0,0,0,1,1,1,1,1,1,0,1,0,0.9,0.6667,0,1,0,0,0,0,1,0,0.5,0,0,0.9091,0.9769,0.625,0.1905,0.6364,0.625,0.1563,0.6053,0,0.6819,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0.9667,0.908
0,8,0,3,5,13,Mons,0,04-01-2011,1,corde à gauche,terrain  (psf),2.300 mètres,4,10,H,0,0,0,0,1,1,0.9583,0.9459,0.75,0.9293,0,0.9661,0.9487,0.9813,1,0,0.9667,0.9375,0.9375,0.963,0,0,0.0385,0,0,0,0.9901,0.6714,0.2308,0.0526,0.4545,0.625,0.3,0.8571,0.8033,0.9821,0.8033,0.5442,0.0167,0.7596,0.7941,0.3333,0,0,0,0,0,0.0695,0.6162,0.0723,0,0.8387,0.6406
0,8,0,3,6,9,Mons,0,04-01-2011,1,corde à gauche,terrain  (psf),2.300 mètres,2,0,M,0,0,0,0,0.25,0.25,1,1,1,1,0,0.9412,0.9722,0.913,0.9667,0,0.8852,0.9459,0.9459,0.9714,0,0,0.1538,0,0.3056,0,0.9918,0,0.9167,0.5556,0.875,0.5,0.5714,0.475,0.0253,0,0.0253,0,0,0.0454,0.4546,0,0,0,0,0,0,0,0.5067,0,0.3143,1,0
0,8,0,1,1,16,Vincennes,1,05-01-2011,0,corde à gauche,terrain bon,2.175 mètres,13,5,F,0,0,0,0,0,0.8,0.6411,0.719,0,0.365,0,0.7714,0.5769,0.8611,1,1,0.8182,0.5,0.5,1,0,0.75,0.6061,0.6,1,0,0.6571,1,0,0.5581,0.2727,0.125,1,0.3103,0.5863,0.7362,0.581,0.8333,0.75,0.3813,1,0.7778,1,1,1,1,0,0.5301,0.4795,0.4391,1,0.9559,0.9689
0,2,0,1,2,8,Vincennes,0,05-01-2011,0,corde à gauche,terrain bon,2.700 mètres,4,2,M,0,0,0,0,0,0.3333,1,1,1,1,0,0.3636,1,0.6154,0.6667,0,0.4,1,1,1,1,0.1778,0.551,0.4,1,1,1,0.5,0.25,0.2727,0.6,0.1818,0.4667,0,0,0.5994,0,0,0.1749,0,0.0894,0,0.2381,0.2162,0.2381,0,0,0.3554,0.4083,0.3554,1,1,0.5721
1,1,2,1,4,8,Vincennes,0,05-01-2011,0,corde à gauche,terrain bon,2.700 mètres,6,3,F,0,0,0,0,0.5,0.6,0.7101,0.7101,0,0.655,0,0,0.4286,1,0,1,0.2222,0.3333,0.3333,0.6667,0,0.5775,0.7,1,0.7867,0,0.4545,0.6667,0,0,0,0,0,0.3571,0.4085,0.6408,0.5631,0.7828,0.574,0.8452,1,0.0855,0.8333,0.825,0.8333,0,0,0.5296,0.5151,0.5928,0.7777,1,0.7508
1,1,1.6,1,6,11,Vincennes,0,05-01-2011,1,corde à gauche,terrain bon,2.100 mètres,3,3,M,0,0,0,0,0.75,0.8,0.6783,0.6783,0,0.8174,0,0,0.25,0.4737,1,1,0.1875,0.5,0.5,1,0,0.2453,0.7593,0.6078,1,0,0.9286,0.875,0.4,0.3846,1,0.4545,0.617,0.7,0.8333,0.9588,0.8339,1,0.2455,0.9875,1,0.3334,1,1,1,1,0,0.7693,0.9534,0.725,1,1,0
0,8,0,1,8,13,Vincennes,0,05-01-2011,0,corde à gauche,terrain bon,2.850 mètres,5,8,F,0,0,0,0,0.4,0.2,1,1,1,1,0,1,1,0.75,1,1,1,1,1,1,1,1,1,0,1,1,1,0.3333,0,0.375,0.72,0,0.55,0,0,0,0,0.2152,1,0.0391,0.5733,0.3262,1,1,1,1,0,0,0,0,1,0.8485,0.1296
0,8,0,1,9,12,Vincennes,0,05-01-2011,0,corde à gauche,terrain bon,2.850 mètres,4,3,F,0,0,0,0,1,1,0.6541,0.7579,0,0.5985,0,0.4286,1,0.4545,0,1,0.25,1,1,0,1,0,1,0.43,0.5,1,0.6667,1,0.25,0.3571,0.5714,0.125,0.65,0.4048,0.2807,0.5347,0.2863,0.223,0,0.3313,0,0.4308,0,0,0,0,0,0,0,0,0.5,1,0.2475
0,2,0,3,1,15,Son Pardo,0,05-01-2011,1,corde à gauche,terrain  (psf),1.650 mètres,15,21,M,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.45,0,0,0,0.9034,1,0.1,1,0.5385,1,0.7121,0.6579,0.8149,0.6579,1,0.4444,0.6398,0.4284,1,0,0,0,0,0,0.4444,0.4177,0.4444,0,0.5435,0.995
1,1,1.4,3,2,12,Son Pardo,0,05-01-2011,1,corde à gauche,terrain  (psf),2.150 mètres,10,4,M,0,0,0,0,0,0,0.6364,0.3962,0.5,1,0,0.4063,0,0.2236,0,1,0.45,0,0,0.5556,1,0.43,0,0.2667,0.6,1,0.1602,0.8498,0.6111,0.8571,0.8,0.2222,0,0.1818,0.0812,0,0.0812,0.2345,0.4211,0,0,0.1389,0,0,0,0,0,0.6823,0.2307,0.6793,0.5897,1,0
0,8,0,3,4,16,Son Pardo,0,05-01-2011,1,corde à gauche,terrain  (psf),2.650 mètres,11,12,H,0,0,0,0,1,1,0.7568,0.7568,0.5,1,0,0.2333,0,0,0.619,0,0,0,0,0.9091,0.6667,0.4,0,0.275,0.8,0.76,0,0.8643,0.2083,1,0.7059,0.7273,1,0.75,0.2497,0.6262,0.2497,1,0.3913,0.2543,1,1,0,0,0,0,0,0.3305,0.0198,0.3273,0.7917,0.8644,0.3966
